序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
1,159636,工银瑞信国证港股通科技30ETF,指数型-股票,2025-03-13,1.3435,1.3435,-5.76,11.92,31.64,73.85,82.42,59.13,,31.66,34.35,2022-06-30
2,513160,银华恒生港股通中国科技ETF,指数型-股票,2025-03-13,1.2214,1.2214,-5.58,10.02,34.35,79.22,78.52,59.49,60.48,31.56,22.14,2022-01-17
3,513770,华宝中证港股通互联网ETF,指数型-股票,2025-03-14,1.1331,1.1331,-3.21,5.17,30.71,71.16,75.1,47.48,68.99,32.99,13.31,2022-02-09
4,513020,国泰中证港股通科技ETF,指数型-股票,2025-03-13,1.1376,1.1376,-3.9,13.17,33.63,70.79,71.71,51.4,49.61,32.87,13.76,2022-01-19
5,513150,华泰柏瑞港股通科技ETF,指数型-股票,2025-03-13,1.1594,1.1594,-3.86,13.19,34.24,70.47,71.13,51.04,48.76,32.68,15.94,2022-01-25
6,513560,兴银中证港股通科技ETF,指数型-股票,2025-03-13,1.3494,1.3494,-3.87,13.29,33.79,70.75,70.81,51.53,,32.61,34.94,2023-01-31
7,513090,易方达中证香港证券投资ETF,指数型-股票,2025-03-14,1.663,1.663,2.58,8.36,8.16,83.47,70.32,58.79,58.62,11.74,66.25,2020-03-13
8,513980,景顺长城中证港股通科技ETF,指数型-股票,2025-03-13,0.7324,0.7324,-3.96,13.3,34.07,70.64,70.29,50.79,51.04,33.31,-26.76,2021-06-21
9,513860,海富通中证港股通科技ETF,指数型-股票,2025-03-13,0.7335,0.7335,-3.92,13.32,34.0,70.42,69.95,51.58,50.99,33.12,-26.65,2021-06-17
10,159751,鹏华中证港股通科技ETF,指数型-股票,2025-03-13,1.0616,1.0616,-3.79,12.8,33.25,69.21,69.58,51.4,50.16,32.02,6.16,2021-12-10
11,159792,富国中证港股通互联网ETF,指数型-股票,2025-03-13,0.9022,0.9022,-6.53,10.92,27.74,66.98,68.54,40.49,48.34,29.98,-9.78,2021-09-15
12,513040,易方达中证港股通互联网ETF,指数型-股票,2025-03-13,1.4582,1.4582,-6.52,10.92,27.35,65.31,67.03,,,29.73,45.82,2023-05-31
13,159747,南方中证香港科技ETF(QDII),指数型-海外股票,2025-03-14,1.4678,0.7339,-0.97,8.01,32.46,63.84,66.59,48.83,61.12,33.0,-26.61,2021-07-02
14,513380,广发恒生科技(QDII-ETF),指数型-海外股票,2025-03-14,0.7299,1.4598,-2.53,6.66,31.17,70.74,66.36,60.52,,31.43,45.98,2022-04-27
15,159568,博时港股通互联网ETF,指数型-股票,2025-03-13,1.7652,1.7652,-6.51,10.8,26.85,64.17,65.95,,,29.12,76.5,2024-02-08
16,159740,大成恒生科技ETF(QDII),指数型-海外股票,2025-03-14,0.7884,0.7884,-2.65,6.28,30.66,69.88,65.35,59.43,70.91,30.75,-21.16,2021-05-18
17,513070,易方达中证港股通消费主题ETF,指数型-股票,2025-03-14,1.4152,1.4152,-0.9,9.59,27.7,63.44,64.16,48.61,41.52,29.23,41.52,2022-03-14
18,159954,南方恒生中国企业ETF,指数型-股票,2025-03-14,1.022,1.022,-0.45,7.34,24.66,48.27,62.22,52.58,64.89,22.37,2.2,2018-02-08
19,517050,华泰柏瑞中证沪港深互联网ETF,指数型-股票,2025-03-13,0.8699,0.8699,-5.68,6.64,18.71,79.1,61.21,38.5,53.64,23.34,-13.01,2021-01-25
20,513890,摩根恒生科技ETF(QDII),指数型-海外股票,2025-03-13,1.1749,1.1749,-4.99,9.92,27.68,67.99,61.08,57.11,56.8,27.92,17.45,2021-12-17
21,513180,华夏恒生科技ETF(QDII),指数型-海外股票,2025-03-13,0.7839,0.7839,-5.26,10.07,28.11,67.11,60.9,53.8,51.65,28.23,-21.61,2021-05-18
22,159750,招商中证香港科技ETF(QDII),指数型-海外股票,2025-03-14,1.071,1.071,-4.58,11.02,29.37,59.81,60.65,39.19,35.16,29.87,4.18,2022-01-26
23,513050,易方达中概互联50ETF,指数型-海外股票,2025-03-13,1.4708,1.4708,-5.88,9.59,24.49,48.25,60.22,49.9,67.42,26.97,47.08,2017-01-04
24,159742,博时恒生科技ETF(QDII),指数型-海外股票,2025-03-13,0.7913,0.7913,-5.19,10.13,27.81,66.34,60.18,52.91,52.17,28.0,-20.87,2021-05-17
25,159856,工银瑞信中证沪港深互联网ETF,指数型-股票,2025-03-13,0.776,0.776,-5.73,6.83,18.76,79.63,60.1,34.75,48.26,23.67,-22.4,2021-01-22
26,513260,汇添富恒生科技ETF(QDII),指数型-海外股票,2025-03-13,1.4896,1.4896,-5.32,10.0,27.83,66.68,60.1,54.22,,27.96,48.96,2022-08-31
27,513010,易方达恒生科技(QDII-ETF),指数型-海外股票,2025-03-13,0.7985,0.7985,-5.21,10.08,28.05,66.6,60.02,53.91,54.48,28.19,-20.15,2021-05-18
28,588200,嘉实上证科创板芯片ETF,指数型-股票,2025-03-13,1.6197,1.6197,-5.21,6.92,12.02,88.8,59.95,40.33,,10.61,62.36,2022-09-30
29,159741,嘉实恒生科技ETF(QDII),指数型-海外股票,2025-03-13,0.7752,0.7752,-5.42,9.9,28.13,66.6,59.87,52.6,51.91,28.2,-22.48,2021-05-26
30,588290,华安上证科创板芯片ETF,指数型-股票,2025-03-13,1.5805,1.5805,-5.17,6.97,12.16,88.45,59.74,39.44,,10.71,58.05,2022-09-30
31,513130,华泰柏瑞南方东英恒生科技(QDII-ETF),指数型-海外股票,2025-03-13,0.7703,0.7703,-5.28,10.0,27.96,66.3,59.52,51.07,48.88,27.34,-22.97,2021-05-24
32,159546,国泰中证全指集成电路ETF,指数型-股票,2025-03-14,1.4314,1.4314,-1.84,5.12,15.29,88.81,59.31,,,12.06,43.14,2023-10-11
33,513320,易方达恒生港股通新经济ETF,指数型-股票,2025-03-13,1.3494,1.3494,-4.68,11.0,28.64,60.55,58.96,43.26,35.02,28.16,34.94,2022-03-03
34,159729,汇添富中证沪港深互联网ETF,指数型-股票,2025-03-13,0.9211,0.9211,-5.57,6.83,18.76,78.4,58.84,34.57,47.19,23.49,-7.89,2021-07-08
35,513580,华安恒生科技(QDII-ETF),指数型-海外股票,2025-03-13,0.7765,0.7765,-5.26,9.91,27.48,66.24,58.79,51.04,50.48,27.67,-22.35,2021-05-20
36,513230,华夏中证港股通消费主题ETF,指数型-股票,2025-03-13,1.0899,1.0899,-3.78,12.33,23.96,58.53,58.48,39.25,41.18,25.43,8.99,2022-01-12
37,517200,嘉实中证沪港深互联网ETF,指数型-股票,2025-03-13,0.786,0.786,-5.73,6.68,18.46,78.27,58.12,33.18,46.61,23.24,-21.4,2021-01-25
38,159851,华宝中证金融科技主题ETF,指数型-股票,2025-03-13,1.5397,1.5397,-5.13,-1.5,-2.69,109.6,57.0,33.84,38.79,7.57,53.97,2021-03-04
39,516860,博时金融科技ETF,指数型-股票,2025-03-13,1.3159,1.3159,-5.14,-1.51,-2.65,110.11,56.77,31.2,34.32,7.6,31.58,2021-09-24
